instrument_token,tradingsymbol,lot_size
268449030,EURINR24DECFUT,1
269248262,EURINR25JANFUT,1
270018310,EURINR25FEBFUT,1
270682630,EURINR25MARFUT,1
271634182,EURINR25APRFUT,1
272665862,EURINR25MAYFUT,1
273476614,EURINR25JUNFUT,1
274486534,EURINR25JULFUT,1
275688966,EURINR25AUGFUT,1
276561926,EURINR25SEPFUT,1
277635846,EURINR25OCTFUT,1
278547206,EURINR25NOVFUT,1
268448774,GBPINR24DECFUT,1
269248006,GBPINR25JANFUT,1
270018054,GBPINR25FEBFUT,1
270682374,GBPINR25MARFUT,1
271633926,GBPINR25APRFUT,1
272665606,GBPINR25MAYFUT,1
273476358,GBPINR25JUNFUT,1
274486278,GBPINR25JULFUT,1
275688710,GBPINR25AUGFUT,1
276561670,GBPINR25SEPFUT,1
277635590,GBPINR25OCTFUT,1
278546950,GBPINR25NOVFUT,1
268449286,JPYINR24DECFUT,1
269248518,JPYINR25JANFUT,1
270018566,JPYINR25FEBFUT,1
270682886,JPYINR25MARFUT,1
271634438,JPYINR25APRFUT,1
272666118,JPYINR25MAYFUT,1
273476870,JPYINR25JUNFUT,1
274486790,JPYINR25JULFUT,1
275689222,JPYINR25AUGFUT,1
276562182,JPYINR25SEPFUT,1
277636102,JPYINR25OCTFUT,1
278547462,JPYINR25NOVFUT,1
276608262,USDINR24D13FUT,1
276982022,USDINR24D20FUT,1
268448518,USDINR24DECFUT,1
541613062,USDINR25103FUT,1
541764102,USDINR25110FUT,1
541975302,USDINR25117FUT,1
542437382,USDINR25124FUT,1
269247750,USDINR25JANFUT,1
542670086,USDINR25131FUT,1
542854150,USDINR25207FUT,1
543079430,USDINR25214FUT,1
543733510,USDINR25221FUT,1
270017798,USDINR25FEBFUT,1
270682118,USDINR25MARFUT,1
271633670,USDINR25APRFUT,1
272665350,USDINR25MAYFUT,1
273476102,USDINR25JUNFUT,1
274486022,USDINR25JULFUT,1
275688454,USDINR25AUGFUT,1
276561414,USDINR25SEPFUT,1
277635334,USDINR25OCTFUT,1
278546694,USDINR25NOVFUT,1
550426630,EURINR24DEC84.5PE,1
550427142,EURINR24DEC84.5CE,1
550274310,EURINR24DEC84.75PE,1
550274566,EURINR24DEC84.75CE,1
550144774,EURINR24DEC85PE,1
550145286,EURINR24DEC85CE,1
550142470,EURINR24DEC85.25PE,1
550142726,EURINR24DEC85.25CE,1
549788934,EURINR24DEC85.5PE,1
549791238,EURINR24DEC85.5CE,1
549766662,EURINR24DEC85.75PE,1
549768198,EURINR24DEC85.75CE,1
549748230,EURINR24DEC86PE,1
549748998,EURINR24DEC86CE,1
549811974,EURINR24DEC86.25PE,1
549814022,EURINR24DEC86.25CE,1
549745926,EURINR24DEC86.5CE,1
549809414,EURINR24DEC97.5PE,1
549811718,EURINR24DEC97.5CE,1
549782534,EURINR24DEC97.25PE,1
549784326,EURINR24DEC97.25CE,1
549814534,EURINR24DEC97PE,1
549817094,EURINR24DEC97CE,1
549827078,EURINR24DEC96.75PE,1
549829382,EURINR24DEC96.75CE,1
549768710,EURINR24DEC96.5PE,1
549770758,EURINR24DEC96.5CE,1
549742086,EURINR24DEC96.25CE,1
549832198,EURINR24DEC96.25PE,1
549772294,EURINR24DEC96PE,1
549773318,EURINR24DEC96CE,1
549782278,EURINR24DEC95.75PE,1
549784070,EURINR24DEC95.75CE,1
549814278,EURINR24DEC95.5PE,1
549816838,EURINR24DEC95.5CE,1
549785606,EURINR24DEC95.25PE,1
549786630,EURINR24DEC95.25CE,1
549818886,EURINR24DEC95PE,1
549820422,EURINR24DEC95CE,1
549741318,EURINR24DEC94.75CE,1
549831686,EURINR24DEC94.75PE,1
549658886,EURINR24DEC94.5PE,1
549661702,EURINR24DEC94.5CE,1
549688838,EURINR24DEC94.25PE,1
549692422,EURINR24DEC94.25CE,1
549717766,EURINR24DEC94PE,1
549720582,EURINR24DEC94CE,1
549668102,EURINR24DEC93.75PE,1
549670918,EURINR24DEC93.75CE,1
549696262,EURINR24DEC93.5PE,1
549699334,EURINR24DEC93.5CE,1
549716742,EURINR24DEC93.25PE,1
549719046,EURINR24DEC93.25CE,1
549658118,EURINR24DEC93PE,1
549660934,EURINR24DEC93CE,1
549705222,EURINR24DEC92.75PE,1
549708806,EURINR24DEC92.75CE,1
549733126,EURINR24DEC92.5PE,1
549736454,EURINR24DEC92.5CE,1
549657350,EURINR24DEC92.25PE,1
549659654,EURINR24DEC92.25CE,1
549695750,EURINR24DEC92PE,1
549698310,EURINR24DEC92CE,1
549645062,EURINR24DEC91.75PE,1
549648902,EURINR24DEC91.75CE,1
549673990,EURINR24DEC91.5PE,1
549677574,EURINR24DEC91.5CE,1
549695238,EURINR24DEC91.25PE,1
549697286,EURINR24DEC91.25CE,1
549732614,EURINR24DEC91PE,1
549735174,EURINR24DEC91CE,1
549672454,EURINR24DEC90.75PE,1
549675782,EURINR24DEC90.75CE,1
549713158,EURINR24DEC90.5PE,1
549716998,EURINR24DEC90.5CE,1
549731846,EURINR24DEC90.25PE,1
549734406,EURINR24DEC90.25CE,1
549673222,EURINR24DEC90PE,1
549676550,EURINR24DEC90CE,1
549704198,EURINR24DEC89.75PE,1
549707782,EURINR24DEC89.75CE,1
549646086,EURINR24DEC89.5PE,1
549649670,EURINR24DEC89.5CE,1
549666822,EURINR24DEC89.25PE,1
549669382,EURINR24DEC89.25CE,1
549704454,EURINR24DEC89PE,1
549708038,EURINR24DEC89CE,1
549644038,EURINR24DEC88.75PE,1
549647366,EURINR24DEC88.75CE,1
549683206,EURINR24DEC88.5PE,1
549687302,EURINR24DEC88.5CE,1
549807110,EURINR24DEC88.25PE,1
549809158,EURINR24DEC88.25CE,1
549744134,EURINR24DEC88PE,1
549746182,EURINR24DEC88CE,1
549761798,EURINR24DEC87.75PE,1
549764614,EURINR24DEC87.75CE,1
549797382,EURINR24DEC87.5PE,1
549798918,EURINR24DEC87.5CE,1
549766918,EURINR24DEC87.25PE,1
549768454,EURINR24DEC87.25CE,1
549789190,EURINR24DEC87PE,1
549791494,EURINR24DEC87CE,1
549806854,EURINR24DEC86.75PE,1
549808902,EURINR24DEC86.75CE,1
549743878,EURINR24DEC86.5PE,1
542147334,EURINR25JAN95.5PE,1
542150406,EURINR25JAN95.5CE,1
542260742,EURINR25JAN95.25PE,1
542263558,EURINR25JAN95.25CE,1
542155014,EURINR25JAN95PE,1
542157318,EURINR25JAN95CE,1
542162694,EURINR25JAN94.75PE,1
542166278,EURINR25JAN94.75CE,1
542242822,EURINR25JAN94.5PE,1
542245894,EURINR25JAN94.5CE,1
542170630,EURINR25JAN94.25PE,1
542173958,EURINR25JAN94.25CE,1
542251526,EURINR25JAN94PE,1
542254598,EURINR25JAN94CE,1
542260486,EURINR25JAN93.75PE,1
542263046,EURINR25JAN93.75CE,1
542154502,EURINR25JAN93.5PE,1
542156806,EURINR25JAN93.5CE,1
542267142,EURINR25JAN93.25PE,1
542269702,EURINR25JAN93.25CE,1
542141702,EURINR25JAN93PE,1
542144774,EURINR25JAN93CE,1
542170374,EURINR25JAN92.75PE,1
542173446,EURINR25JAN92.75CE,1
542251014,EURINR25JAN92.5PE,1
542254342,EURINR25JAN92.5CE,1
